longitude,latitude,housing_median_age,total_rooms,total_bedrooms,population,households,median_income,median_house_value
-114.3,34.2,15,5612,1283,1015,472,1.4936,66900
-114.3,34.3,19,7650,1901,1129,463,1.82,80100
-114.3,33.4,17,720,174,333,117,1.6509,85700
-114.4,34.2,14,1501,337,515,226,3.1917,73400
-114.4,34.3,20,1454,326,624,262,1.925,65500
-114.4,33.4,29,1387,236,671,239,3.3438,74000
-114.5,34.2,25,2907,680,1841,633,2.6768,82400
-114.5,34.3,41,812,168,375,158,1.7083,48500
-114.5,33.4,34,4789,1175,3134,1056,2.1782,58400
-114.6,34.2,46,1497,309,787,271,2.1908,48100
-114.6,34.3,16,3741,801,2434,824,2.6797,86500
-114.6,33.4,21,1988,483,1182,437,1.625,62000
