"对象0:0,;v>0","阶段0:0,;v>0","礼拜0:0,;v>0","时段0:0,;v>0","value0:0,;v>0","对象0:1,;v>0","阶段0:1,;v>0","礼拜0:1,;v>0","时段0:1,;v>0","value0:1,;v>0","对象0:2,;v>0","阶段0:2,;v>0","礼拜0:2,;v>0","时段0:2,;v>0","value0:2,;v>0",对象轴,阶段轴,礼拜轴,时段轴
0,0,0,0,87.0,0,0,0,0,169.0,0,0,0,0,80.0,0,前期,周日,凌晨
0,0,0,1,87.0,0,0,0,1,169.0,0,0,0,1,80.0,1,中期,周一,早晨
0,0,0,2,87.0,0,0,0,2,169.0,0,0,0,2,80.0,2,后期,周二,上午
0,0,0,3,87.0,0,0,0,3,169.0,0,0,0,3,80.0,,,周三,中午
0,0,0,4,87.0,0,0,0,4,169.0,0,0,0,4,80.0,,,周四,下午
0,0,0,5,87.0,0,0,0,5,169.0,0,0,0,5,80.0,,,周五,晚上
0,0,1,0,224.0,0,0,1,0,181.0,0,0,1,0,65.0,,,周六,
0,0,1,1,224.0,0,0,1,1,181.0,0,0,1,1,65.0,,,,
0,0,1,2,224.0,0,0,1,2,181.0,0,0,1,2,65.0,,,,
0,0,1,3,224.0,0,0,1,3,181.0,0,0,1,3,65.0,,,,
0,0,1,4,224.0,0,0,1,4,181.0,0,0,1,4,65.0,,,,
0,0,1,5,224.0,0,0,1,5,181.0,0,0,1,5,65.0,,,,
0,0,2,0,100.0,0,0,2,0,87.0,0,0,2,0,48.0,,,,
0,0,2,1,100.0,0,0,2,1,87.0,0,0,2,1,48.0,,,,
0,0,2,2,100.0,0,0,2,2,87.0,0,0,2,2,48.0,,,,
0,0,2,3,100.0,0,0,2,3,87.0,0,0,2,3,48.0,,,,
0,0,2,4,100.0,0,0,2,4,87.0,0,0,2,4,48.0,,,,
0,0,2,5,100.0,0,0,2,5,87.0,0,0,2,5,48.0,,,,
0,0,3,0,78.0,0,0,3,0,64.0,0,0,3,0,43.0,,,,
0,0,3,1,78.0,0,0,3,1,64.0,0,0,3,1,43.0,,,,
0,0,3,2,78.0,0,0,3,2,64.0,0,0,3,2,43.0,,,,
0,0,3,3,78.0,0,0,3,3,64.0,0,0,3,3,43.0,,,,
0,0,3,4,78.0,0,0,3,4,64.0,0,0,3,4,43.0,,,,
0,0,3,5,78.0,0,0,3,5,64.0,0,0,3,5,43.0,,,,
0,0,4,0,62.0,0,0,4,0,60.0,0,0,4,0,42.0,,,,
0,0,4,1,62.0,0,0,4,1,60.0,0,0,4,1,42.0,,,,
0,0,4,2,62.0,0,0,4,2,60.0,0,0,4,2,42.0,,,,
0,0,4,3,62.0,0,0,4,3,60.0,0,0,4,3,42.0,,,,
0,0,4,4,62.0,0,0,4,4,60.0,0,0,4,4,42.0,,,,
0,0,4,5,62.0,0,0,4,5,60.0,0,0,4,5,42.0,,,,
0,0,5,0,50.0,0,0,5,0,59.0,0,0,5,0,43.0,,,,
0,0,5,1,50.0,0,0,5,1,59.0,0,0,5,1,43.0,,,,
0,0,5,2,50.0,0,0,5,2,59.0,0,0,5,2,43.0,,,,
0,0,5,3,50.0,0,0,5,3,59.0,0,0,5,3,43.0,,,,
0,0,5,4,50.0,0,0,5,4,59.0,0,0,5,4,43.0,,,,
0,0,5,5,50.0,0,0,5,5,59.0,0,0,5,5,43.0,,,,
0,0,6,0,69.0,0,0,6,0,74.0,0,0,6,0,71.0,,,,
0,0,6,1,69.0,0,0,6,1,74.0,0,0,6,1,71.0,,,,
0,0,6,2,69.0,0,0,6,2,74.0,0,0,6,2,71.0,,,,
0,0,6,3,69.0,0,0,6,3,74.0,0,0,6,3,71.0,,,,
0,0,6,4,69.0,0,0,6,4,74.0,0,0,6,4,71.0,,,,
0,0,6,5,69.0,0,0,6,5,74.0,0,0,6,5,71.0,,,,
0,1,0,0,94.0,0,1,0,0,363.0,0,1,0,0,287.0,,,,
0,1,0,1,94.0,0,1,0,1,363.0,0,1,0,1,287.0,,,,
0,1,0,2,94.0,0,1,0,2,363.0,0,1,0,2,287.0,,,,
0,1,0,3,94.0,0,1,0,3,363.0,0,1,0,3,287.0,,,,
0,1,0,4,94.0,0,1,0,4,363.0,0,1,0,4,287.0,,,,
0,1,0,5,94.0,0,1,0,5,363.0,0,1,0,5,287.0,,,,
0,1,1,0,399.0,0,1,1,0,197.0,0,1,1,0,235.0,,,,
0,1,1,1,399.0,0,1,1,1,197.0,0,1,1,1,235.0,,,,
0,1,1,2,399.0,0,1,1,2,197.0,0,1,1,2,235.0,,,,
0,1,1,3,399.0,0,1,1,3,197.0,0,1,1,3,235.0,,,,
0,1,1,4,399.0,0,1,1,4,197.0,0,1,1,4,235.0,,,,
0,1,1,5,399.0,0,1,1,5,197.0,0,1,1,5,235.0,,,,
0,1,2,0,219.0,0,1,2,0,138.0,0,1,2,0,147.0,,,,
0,1,2,1,219.0,0,1,2,1,138.0,0,1,2,1,147.0,,,,
0,1,2,2,219.0,0,1,2,2,138.0,0,1,2,2,147.0,,,,
0,1,2,3,219.0,0,1,2,3,138.0,0,1,2,3,147.0,,,,
0,1,2,4,219.0,0,1,2,4,138.0,0,1,2,4,147.0,,,,
0,1,2,5,219.0,0,1,2,5,138.0,0,1,2,5,147.0,,,,
0,1,3,0,125.0,0,1,3,0,129.0,0,1,3,0,192.0,,,,
0,1,3,1,125.0,0,1,3,1,129.0,0,1,3,1,192.0,,,,
0,1,3,2,125.0,0,1,3,2,129.0,0,1,3,2,192.0,,,,
0,1,3,3,125.0,0,1,3,3,129.0,0,1,3,3,192.0,,,,
0,1,3,4,125.0,0,1,3,4,129.0,0,1,3,4,192.0,,,,
0,1,3,5,125.0,0,1,3,5,129.0,0,1,3,5,192.0,,,,
0,1,4,0,123.0,0,1,4,0,85.0,0,1,4,0,169.0,,,,
0,1,4,1,123.0,0,1,4,1,85.0,0,1,4,1,169.0,,,,
0,1,4,2,123.0,0,1,4,2,85.0,0,1,4,2,169.0,,,,
0,1,4,3,123.0,0,1,4,3,85.0,0,1,4,3,169.0,,,,
0,1,4,4,123.0,0,1,4,4,85.0,0,1,4,4,169.0,,,,
0,1,4,5,123.0,0,1,4,5,85.0,0,1,4,5,169.0,,,,
0,1,5,0,82.0,0,1,5,0,95.0,0,1,5,0,216.0,,,,
0,1,5,1,82.0,0,1,5,1,95.0,0,1,5,1,216.0,,,,
0,1,5,2,82.0,0,1,5,2,95.0,0,1,5,2,216.0,,,,
0,1,5,3,82.0,0,1,5,3,95.0,0,1,5,3,216.0,,,,
0,1,5,4,82.0,0,1,5,4,95.0,0,1,5,4,216.0,,,,
0,1,5,5,82.0,0,1,5,5,95.0,0,1,5,5,216.0,,,,
0,1,6,0,88.0,0,1,6,0,131.0,0,1,6,0,285.0,,,,
0,1,6,1,88.0,0,1,6,1,131.0,0,1,6,1,285.0,,,,
0,1,6,2,88.0,0,1,6,2,131.0,0,1,6,2,285.0,,,,
0,1,6,3,88.0,0,1,6,3,131.0,0,1,6,3,285.0,,,,
0,1,6,4,88.0,0,1,6,4,131.0,0,1,6,4,285.0,,,,
0,1,6,5,88.0,0,1,6,5,131.0,0,1,6,5,285.0,,,,
0,2,0,0,53.0,0,2,0,0,169.0,0,2,0,0,136.0,,,,
0,2,0,1,53.0,0,2,0,1,169.0,0,2,0,1,136.0,,,,
0,2,0,2,53.0,0,2,0,2,169.0,0,2,0,2,136.0,,,,
0,2,0,3,53.0,0,2,0,3,169.0,0,2,0,3,136.0,,,,
0,2,0,4,53.0,0,2,0,4,169.0,0,2,0,4,136.0,,,,
0,2,0,5,53.0,0,2,0,5,169.0,0,2,0,5,136.0,,,,
0,2,1,0,162.0,0,2,1,0,109.0,0,2,1,0,118.0,,,,
0,2,1,1,162.0,0,2,1,1,109.0,0,2,1,1,118.0,,,,
0,2,1,2,162.0,0,2,1,2,109.0,0,2,1,2,118.0,,,,
0,2,1,3,162.0,0,2,1,3,109.0,0,2,1,3,118.0,,,,
0,2,1,4,162.0,0,2,1,4,109.0,0,2,1,4,118.0,,,,
0,2,1,5,162.0,0,2,1,5,109.0,0,2,1,5,118.0,,,,
0,2,2,0,92.0,0,2,2,0,88.0,0,2,2,0,130.0,,,,
0,2,2,1,92.0,0,2,2,1,88.0,0,2,2,1,130.0,,,,
0,2,2,2,92.0,0,2,2,2,88.0,0,2,2,2,130.0,,,,
0,2,2,3,92.0,0,2,2,3,88.0,0,2,2,3,130.0,,,,
0,2,2,4,92.0,0,2,2,4,88.0,0,2,2,4,130.0,,,,
0,2,2,5,92.0,0,2,2,5,88.0,0,2,2,5,130.0,,,,
0,2,3,0,63.0,0,2,3,0,78.0,0,2,3,0,91.0,,,,
0,2,3,1,63.0,0,2,3,1,78.0,0,2,3,1,91.0,,,,
0,2,3,2,63.0,0,2,3,2,78.0,0,2,3,2,91.0,,,,
0,2,3,3,63.0,0,2,3,3,78.0,0,2,3,3,91.0,,,,
0,2,3,4,63.0,0,2,3,4,78.0,0,2,3,4,91.0,,,,
0,2,3,5,63.0,0,2,3,5,78.0,0,2,3,5,91.0,,,,
0,2,4,0,47.0,0,2,4,0,67.0,0,2,4,0,73.0,,,,
0,2,4,1,47.0,0,2,4,1,67.0,0,2,4,1,73.0,,,,
0,2,4,2,47.0,0,2,4,2,67.0,0,2,4,2,73.0,,,,
0,2,4,3,47.0,0,2,4,3,67.0,0,2,4,3,73.0,,,,
0,2,4,4,47.0,0,2,4,4,67.0,0,2,4,4,73.0,,,,
0,2,4,5,47.0,0,2,4,5,67.0,0,2,4,5,73.0,,,,
0,2,5,0,25.0,0,2,5,0,70.0,0,2,5,0,81.0,,,,
0,2,5,1,25.0,0,2,5,1,70.0,0,2,5,1,81.0,,,,
0,2,5,2,25.0,0,2,5,2,70.0,0,2,5,2,81.0,,,,
0,2,5,3,25.0,0,2,5,3,70.0,0,2,5,3,81.0,,,,
0,2,5,4,25.0,0,2,5,4,70.0,0,2,5,4,81.0,,,,
0,2,5,5,25.0,0,2,5,5,70.0,0,2,5,5,81.0,,,,
0,2,6,0,46.0,0,2,6,0,74.0,0,2,6,0,81.0,,,,
0,2,6,1,46.0,0,2,6,1,74.0,0,2,6,1,81.0,,,,
0,2,6,2,46.0,0,2,6,2,74.0,0,2,6,2,81.0,,,,
0,2,6,3,46.0,0,2,6,3,74.0,0,2,6,3,81.0,,,,
0,2,6,4,46.0,0,2,6,4,74.0,0,2,6,4,81.0,,,,
0,2,6,5,46.0,0,2,6,5,74.0,0,2,6,5,81.0,,,,
